【販売スケジュール】,Unnamed: 1,Unnamed: 2,Unnamed: 3,45261
,,八草キャンパス,,自由ヶ丘キャンパス
,,1号館前,セントラルガーデン,本館玄関脇
1.0,金,金しゃち（唐揚げ）,カッパドキア（ケバブ）,
2.0,土,,,
3.0,日,,,
4.0,月,夢翔（韓国料理）,MYきっちん（揚げパン）,
5.0,火,シーハウス（韓国料理）,金しゃち（唐揚げ）,
6.0,水,YAMA BAL（ホットサンド）,熊猫厨房（中華ホットロール）,ハニーエイト（ハニーポテト）
7.0,木,パインリーフ（クレープ）,粉もの本舗 kurukurku（たこ焼き）,
8.0,金,金しゃち（唐揚げ）,ポポ（メロンパン）,
9.0,土,,,
10.0,日,,,
11.0,月,サニーズ（クレープ）,アルス（インドカレー）,
12.0,火,たこ焼きセブン（たこ焼き）,金しゃち（唐揚げ）,
13.0,水,MYきっちん（揚げパン）,miu crepe cafe（クレープ）,キッチンカーナ（たこ焼き）
14.0,木,che'rie（ホットドック）,YAMA BAL（ホットサンド）,
15.0,金,金しゃち（唐揚げ）,ブラザー69（バーガー）,
16.0,土,,,
17.0,日,,,
18.0,月,MYきっちん（揚げパン）,66Kitchen's（りんご飴）,
19.0,火,ピースカフェ（クロワッサンサンド）,金しゃち（唐揚げ）,
20.0,水,Take Eat EZY（丼）,シーハウス2号車（韓国料理）,パインリーフ（クレープ）
21.0,木,ブラザー69（バーガー）,はらぺこKITCHEN（弁当）,
22.0,金,金しゃち（唐揚げ）,miu crepe cafe（クレープ）,
23.0,土,,,
24.0,日,,,
25.0,月,サニーズ（クレープ）,熊猫厨房（中華ホットロール）,
26.0,火,,金しゃち（唐揚げ）,
27.0,水,,,
28.0,木,,,
29.0,金,,,
30.0,土,,,
31.0,日,,,
